ts,elapsed_s,index,util_pct,mem_used_mb,mem_total_mb,temp_c,power_w
2026-08-31 01:53:52,0,0,100,7368,24576,51,247.95
2026-08-31 01:53:57,5,0,99,7368,24576,51,244.83
2026-08-31 01:54:03,11,0,100,7368,24576,52,246.77
2026-08-31 01:54:08,16,0,100,7368,24576,52,249.32
2026-08-31 01:54:13,21,0,100,7368,24576,53,246.62
2026-08-31 01:54:18,26,0,100,7368,24576,53,245.04
2026-08-31 01:54:23,31,0,100,7368,24576,53,248.39
2026-08-31 01:54:28,36,0,100,7368,24576,53,248.95
2026-08-31 01:54:33,41,0,100,7368,24576,53,246.26
2026-08-31 01:54:38,46,0,100,7368,24576,54,248.35
2026-08-31 01:54:43,51,0,100,7368,24576,54,250.99
2026-08-31 01:54:48,56,0,100,7368,24576,54,248.22
2026-08-31 01:54:53,61,0,100,7368,24576,54,245.59
2026-08-31 01:54:58,66,0,100,7368,24576,54,248.68
2026-08-31 01:55:03,71,0,100,7368,24576,55,250.11
2026-08-31 01:55:08,76,0,100,7368,24576,55,249.61
2026-08-31 01:55:14,82,0,100,7368,24576,55,248.58
2026-08-31 01:55:19,87,0,100,7368,24576,55,247.05
2026-08-31 01:55:24,92,0,100,7368,24576,55,247.39
2026-08-31 01:55:29,97,0,100,7368,24576,55,248.83
2026-08-31 01:55:34,102,0,100,7368,24576,56,250.05
2026-08-31 01:55:39,107,0,100,7368,24576,56,250.27
2026-08-31 01:55:44,112,0,100,7368,24576,56,249.47
2026-08-31 01:55:49,117,0,99,7368,24576,56,248.13
2026-08-31 01:55:54,122,0,100,7368,24576,56,247.57
2026-08-31 01:55:59,127,0,100,7368,24576,57,248.78
2026-08-31 01:56:04,132,0,100,7368,24576,57,249.93
2026-08-31 01:56:09,137,0,100,7368,24576,57,249.32
2026-08-31 01:56:14,142,0,100,7368,24576,57,248.73
2026-08-31 01:56:20,148,0,100,7368,24576,57,247.47
2026-08-31 01:56:25,153,0,100,7368,24576,57,247.75
2026-08-31 01:56:30,158,0,100,7368,24576,57,249.53
2026-08-31 01:56:35,163,0,100,7368,24576,57,250.07
2026-08-31 01:56:40,168,0,100,7368,24576,57,249.27
2026-08-31 01:56:45,173,0,100,7368,24576,56,248.57
2026-08-31 01:56:50,178,0,100,7368,24576,56,247.35
2026-08-31 01:56:55,183,0,100,7368,24576,56,248.49
2026-08-31 01:57:00,188,0,100,7368,24576,56,250.21
2026-08-31 01:57:05,193,0,100,7368,24576,56,250.07
2026-08-31 01:57:10,198,0,100,7368,24576,56,248.75
2026-08-31 01:57:15,203,0,100,7368,24576,55,247.34
2026-08-31 01:57:20,208,0,100,7368,24576,55,246.44
2026-08-31 01:57:25,213,0,100,7368,24576,55,247.71
2026-08-31 01:57:30,218,0,100,7368,24576,55,248.98
2026-08-31 01:57:36,223,0,100,7368,24576,55,249.31
2026-08-31 01:57:41,229,0,100,7368,24576,55,248.44
2026-08-31 01:57:46,234,0,99,7368,24576,55,246.75
2026-08-31 01:57:51,239,0,100,7368,24576,55,246.65
2026-08-31 01:57:56,244,0,100,7368,24576,55,247.62
2026-08-31 01:58:01,249,0,100,7368,24576,55,249.11
2026-08-31 01:58:06,254,0,100,7368,24576,54,249.09
2026-08-31 01:58:11,259,0,100,7368,24576,54,248.30
2026-08-31 01:58:16,264,0,100,7368,24576,54,247.09
2026-08-31 01:58:21,269,0,100,7368,24576,54,246.75
2026-08-31 01:58:26,274,0,100,7368,24576,54,247.88
2026-08-31 01:58:31,279,0,100,7368,24576,54,249.26
2026-08-31 01:58:36,284,0,100,7368,24576,54,248.84
2026-08-31 01:58:41,289,0,100,7368,24576,54,247.91
2026-08-31 01:58:46,294,0,99,7368,24576,54,246.50
2026-08-31 01:58:52,300,0,100,7368,24576,54,246.82
2026-08-31 01:58:57,305,0,100,7368,24576,54,248.11
2026-08-31 01:59:02,310,0,100,7368,24576,54,248.75
2026-08-31 01:59:07,315,0,100,7368,24576,54,248.83
2026-08-31 01:59:12,320,0,100,7368,24576,54,248.05
2026-08-31 01:59:17,325,0,99,7368,24576,54,246.86
2026-08-31 01:59:22,330,0,100,7368,24576,54,246.21
2026-08-31 01:59:27,335,0,100,7368,24576,54,246.99
2026-08-31 01:59:32,340,0,100,7368,24576,54,248.80
2026-08-31 01:59:37,345,0,100,7368,24576,54,248.73
2026-08-31 01:59:42,350,0,100,7368,24576,54,247.68
2026-08-31 01:59:47,355,0,100,7368,24576,53,246.52
2026-08-31 01:59:53,361,0,100,7368,24576,53,245.77
2026-08-31 01:59:58,366,0,100,7368,24576,53,247.15
2026-08-31 02:00:03,371,0,100,7368,24576,53,248.31
2026-08-31 02:00:08,376,0,100,7368,24576,53,248.58
2026-08-31 02:00:13,381,0,100,7368,24576,53,247.74
2026-08-31 02:00:18,386,0,99,7368,24576,53,246.21
2026-08-31 02:00:23,391,0,100,7368,24576,53,245.90
2026-08-31 02:00:28,396,0,100,7368,24576,53,247.25
2026-08-31 02:00:33,401,0,100,7368,24576,53,248.25
2026-08-31 02:00:38,406,0,100,7368,24576,53,248.14
2026-08-31 02:00:43,411,0,100,7368,24576,53,247.38
2026-08-31 02:00:48,416,0,100,7368,24576,53,245.78
2026-08-31 02:00:53,421,0,100,7368,24576,53,245.74
2026-08-31 02:00:58,426,0,100,7368,24576,53,247.11
2026-08-31 02:01:04,432,0,100,7368,24576,53,248.35
2026-08-31 02:01:09,437,0,100,7368,24576,53,248.66
2026-08-31 02:01:14,442,0,100,7368,24576,53,247.31
2026-08-31 02:01:19,447,0,99,7368,24576,53,246.01
2026-08-31 02:01:24,452,0,100,7368,24576,53,246.52
2026-08-31 02:01:29,457,0,100,7368,24576,53,248.24
2026-08-31 02:01:34,462,0,100,7368,24576,53,248.84
2026-08-31 02:01:39,467,0,100,7368,24576,53,248.52
2026-08-31 02:01:44,472,0,100,7368,24576,53,247.70
2026-08-31 02:01:49,477,0,99,7368,24576,53,245.67
2026-08-31 02:01:54,482,0,100,7368,24576,53,246.20
2026-08-31 02:01:59,487,0,100,7368,24576,53,248.17
2026-08-31 02:02:04,492,0,100,7368,24576,53,248.95
2026-08-31 02:02:09,497,0,100,7368,24576,53,248.62
2026-08-31 02:02:14,502,0,100,7368,24576,53,247.07
2026-08-31 02:02:20,508,0,100,7368,24576,53,246.09
2026-08-31 02:02:25,513,0,100,7368,24576,53,247.35
2026-08-31 02:02:30,518,0,100,7368,24576,53,249.21
2026-08-31 02:02:35,523,0,100,7368,24576,53,248.88
2026-08-31 02:02:40,528,0,100,7368,24576,53,248.11
2026-08-31 02:02:45,533,0,99,7368,24576,53,246.61
2026-08-31 02:02:50,538,0,100,7368,24576,53,246.08
2026-08-31 02:02:55,543,0,100,7368,24576,53,247.09
2026-08-31 02:03:00,548,0,100,7368,24576,53,248.96
2026-08-31 02:03:05,553,0,100,7368,24576,53,249.27
2026-08-31 02:03:10,558,0,100,7368,24576,53,248.14
2026-08-31 02:03:15,563,0,100,7368,24576,53,246.79
2026-08-31 02:03:20,568,0,100,7368,24576,53,245.85
2026-08-31 02:03:25,573,0,100,7368,24576,53,247.17
2026-08-31 02:03:31,579,0,100,7368,24576,53,248.69
2026-08-31 02:03:36,584,0,100,7368,24576,53,248.70
2026-08-31 02:03:41,589,0,100,7368,24576,53,248.04
2026-08-31 02:03:46,594,0,99,7368,24576,53,246.07
2026-08-31 02:03:51,599,0,100,7368,24576,53,246.21
2026-08-31 02:03:56,604,0,100,7368,24576,53,247.01
2026-08-31 02:04:01,609,0,100,7368,24576,53,248.80
2026-08-31 02:04:06,614,0,100,7368,24576,53,248.87
2026-08-31 02:04:11,619,0,100,7368,24576,53,248.04
2026-08-31 02:04:16,624,0,99,7368,24576,53,246.79
2026-08-31 02:04:21,629,0,100,7368,24576,53,246.50
2026-08-31 02:04:26,634,0,100,7368,24576,53,247.40
2026-08-31 02:04:31,639,0,100,7368,24576,53,248.29
2026-08-31 02:04:36,644,0,100,7368,24576,53,248.55
2026-08-31 02:04:42,650,0,100,7368,24576,53,247.76
2026-08-31 02:04:47,655,0,99,7368,24576,53,246.08
2026-08-31 02:04:52,660,0,100,7368,24576,53,246.36
2026-08-31 02:04:57,665,0,100,7368,24576,53,247.64
2026-08-31 02:05:02,670,0,100,7368,24576,53,248.44
2026-08-31 02:05:07,675,0,100,7368,24576,53,249.00
2026-08-31 02:05:12,680,0,100,7368,24576,53,247.87
2026-08-31 02:05:17,685,0,100,7368,24576,53,246.41
2026-08-31 02:05:22,690,0,100,7368,24576,53,246.00
2026-08-31 02:05:27,695,0,100,7368,24576,53,248.34
2026-08-31 02:05:32,700,0,100,7368,24576,53,248.87
2026-08-31 02:05:37,705,0,100,7368,24576,53,248.40
2026-08-31 02:05:42,710,0,100,7368,24576,53,248.06
2026-08-31 02:05:47,715,0,100,7368,24576,53,246.10
2026-08-31 02:05:52,720,0,100,7368,24576,53,246.30
2026-08-31 02:05:58,726,0,100,7368,24576,53,247.82
2026-08-31 02:06:03,731,0,100,7368,24576,53,248.59
2026-08-31 02:06:08,736,0,100,7368,24576,53,248.16
2026-08-31 02:06:13,741,0,100,7368,24576,53,247.43
2026-08-31 02:06:18,746,0,100,7368,24576,53,245.98
2026-08-31 02:06:23,751,0,100,7368,24576,53,246.58
2026-08-31 02:06:28,756,0,100,7368,24576,53,247.97
2026-08-31 02:06:33,761,0,100,7368,24576,53,248.84
2026-08-31 02:06:38,766,0,100,7368,24576,53,248.27
2026-08-31 02:06:43,771,0,100,7368,24576,53,246.95
2026-08-31 02:06:48,776,0,100,7368,24576,52,245.64
2026-08-31 02:06:53,781,0,100,7368,24576,53,246.81
2026-08-31 02:06:58,786,0,100,7368,24576,53,248.85
2026-08-31 02:07:03,791,0,100,7368,24576,53,248.94
2026-08-31 02:07:08,796,0,100,7368,24576,53,247.83
2026-08-31 02:07:14,802,0,99,7368,24576,53,246.77
2026-08-31 02:07:19,807,0,100,7368,24576,53,246.18
2026-08-31 02:07:24,812,0,100,7368,24576,53,246.61
2026-08-31 02:07:29,817,0,100,7368,24576,53,248.94
2026-08-31 02:07:34,822,0,100,7368,24576,53,248.86
2026-08-31 02:07:39,827,0,100,7368,24576,53,248.45
2026-08-31 02:07:44,832,0,100,7368,24576,53,246.84
2026-08-31 02:07:49,837,0,100,7368,24576,53,246.11
2026-08-31 02:07:54,842,0,100,7368,24576,53,247.25
2026-08-31 02:07:59,847,0,100,7368,24576,53,248.89
2026-08-31 02:08:04,852,0,100,7368,24576,53,248.83
2026-08-31 02:08:09,857,0,100,7368,24576,53,247.84
2026-08-31 02:08:14,862,0,99,7368,24576,53,246.43
2026-08-31 02:08:20,868,0,100,7368,24576,53,246.26
2026-08-31 02:08:25,873,0,100,7368,24576,53,246.86
2026-08-31 02:08:30,878,0,100,7368,24576,53,248.62
2026-08-31 02:08:35,883,0,100,7368,24576,53,248.70
2026-08-31 02:08:40,888,0,100,7368,24576,53,248.10
2026-08-31 02:08:45,893,0,99,7368,24576,53,247.21
2026-08-31 02:08:50,898,0,100,7368,24576,53,246.11
2026-08-31 02:08:55,903,0,100,7368,24576,53,246.23
2026-08-31 02:09:00,908,0,100,7368,24576,53,248.35
2026-08-31 02:09:05,913,0,100,7368,24576,53,248.51
2026-08-31 02:09:10,918,0,100,7368,24576,53,247.75
2026-08-31 02:09:15,923,0,100,7368,24576,53,246.67
2026-08-31 02:09:20,928,0,100,7368,24576,53,245.84
2026-08-31 02:09:26,934,0,100,7368,24576,53,246.74
2026-08-31 02:09:31,939,0,100,7368,24576,53,248.57
2026-08-31 02:09:36,944,0,100,7368,24576,53,248.41
2026-08-31 02:09:41,949,0,100,7368,24576,53,247.56
2026-08-31 02:09:46,954,0,99,7368,24576,53,246.18
2026-08-31 02:09:51,959,0,100,7368,24576,53,245.97
2026-08-31 02:09:56,964,0,100,7368,24576,53,246.59
2026-08-31 02:10:01,969,0,100,7368,24576,53,248.66
2026-08-31 02:10:06,974,0,100,7368,24576,53,249.05
2026-08-31 02:10:11,979,0,100,7368,24576,53,247.62
2026-08-31 02:10:16,984,0,100,7368,24576,53,246.20
2026-08-31 02:10:21,989,0,100,7368,24576,53,245.96
2026-08-31 02:10:26,994,0,100,7368,24576,53,247.49
2026-08-31 02:10:31,999,0,100,7368,24576,53,248.30
2026-08-31 02:10:36,1004,0,100,7368,24576,53,248.18
2026-08-31 02:10:42,1010,0,100,7368,24576,53,247.27
2026-08-31 02:10:47,1015,0,99,7368,24576,53,245.59
2026-08-31 02:10:52,1020,0,100,7368,24576,53,246.02
2026-08-31 02:10:57,1025,0,100,7368,24576,53,247.53
2026-08-31 02:11:02,1030,0,100,7368,24576,53,248.77
2026-08-31 02:11:07,1035,0,100,7368,24576,53,248.19
2026-08-31 02:11:12,1040,0,100,7368,24576,53,247.43
2026-08-31 02:11:17,1045,0,100,7368,24576,53,245.98
2026-08-31 02:11:22,1050,0,100,7368,24576,53,246.28
2026-08-31 02:11:27,1055,0,100,7368,24576,53,247.67
2026-08-31 02:11:32,1060,0,100,7368,24576,53,248.59
2026-08-31 02:11:37,1065,0,100,7368,24576,53,248.44
2026-08-31 02:11:42,1070,0,100,7368,24576,53,247.15
2026-08-31 02:11:47,1075,0,100,7368,24576,53,245.65
2026-08-31 02:11:53,1081,0,100,7368,24576,53,246.81
2026-08-31 02:11:58,1086,0,100,7368,24576,53,247.46
2026-08-31 02:12:03,1091,0,100,7368,24576,53,248.76
2026-08-31 02:12:08,1096,0,100,7368,24576,53,248.05
2026-08-31 02:12:13,1101,0,100,7368,24576,53,247.21
2026-08-31 02:12:18,1106,0,100,7368,24576,53,245.70
2026-08-31 02:12:23,1111,0,100,7368,24576,53,246.37
